iter	RMSE
0	32.67463105
1	31.55296911
2	30.60805557
3	29.7954302
4	29.10623024
5	28.52705506
6	28.00850007
7	27.55627724
8	27.19642991
9	26.85723199
10	26.56719406
11	26.32136969
12	26.10746137
13	25.91252369
14	25.75059837
15	25.59636752
16	25.46620098
17	25.34887121
18	25.24441997
19	25.148323
20	25.06214564
21	24.98321706
22	24.91080394
23	24.84731359
24	24.78516262
25	24.73235429
26	24.68440549
27	24.64156376
28	24.60047406
29	24.55702134
30	24.51079787
31	24.47714252
32	24.44797805
33	24.41572464
34	24.37187996
35	24.33559957
36	24.29671046
37	24.26300466
38	24.2365798
39	24.21267697
40	24.19018019
41	24.1668498
42	24.13714108
43	24.11622624
44	24.0948779
45	24.0768907
46	24.0577237
47	24.03581122
48	24.01535798
49	23.99788824
50	23.97455598
51	23.94978781
52	23.9308704
53	23.91476674
54	23.89502889
55	23.88221271
56	23.86481016
57	23.83962189
58	23.81879563
59	23.79834652
60	23.78459237
61	23.76797957
62	23.74718398
63	23.7250402
64	23.7081065
65	23.69404199
66	23.67911876
67	23.66303992
68	23.64215822
69	23.6282665
70	23.61214307
71	23.59328044
72	23.57933153
73	23.55772513
74	23.54322595
75	23.52944635
76	23.51711097
77	23.50390813
78	23.4834811
79	23.4641143
80	23.44585246
81	23.43087847
82	23.42062349
83	23.40368455
84	23.38874832
85	23.37469374
86	23.35616233
87	23.34355531
88	23.33252633
89	23.32193108
90	23.30854033
91	23.29628931
92	23.28503669
93	23.27043059
94	23.2576241
95	23.24453842
96	23.23062768
97	23.22111243
98	23.2136579
99	23.20193019
100	23.18579154
101	23.17524761
102	23.1635447
103	23.15303243
104	23.14168674
105	23.12824238
106	23.11653585
107	23.10589021
108	23.09737716
109	23.08589405
110	23.07542427
111	23.06283248
112	23.05144598
113	23.04270532
114	23.03345779
115	23.02160206
116	23.00909051
117	23.0014654
118	22.98501565
119	22.97655124
120	22.96830666
121	22.95676285
122	22.94794753
123	22.94015527
124	22.92952195
125	22.91924657
126	22.90810094
127	22.89461414
128	22.88667301
129	22.87814798
130	22.86730262
131	22.85585093
132	22.84640817
133	22.837815
134	22.82836227
135	22.82041988
136	22.8098142
137	22.80166088
138	22.79049751
139	22.78200587
140	22.77343602
141	22.76224915
142	22.75454392
143	22.74684234
144	22.73501677
145	22.72429503
146	22.71570719
147	22.70695189
148	22.69740885
149	22.6874036
150	22.67671856
151	22.66814587
152	22.65657883
153	22.64396772
154	22.63531938
155	22.62819916
156	22.62013774
157	22.61274931
158	22.60675317
159	22.59626663
160	22.58511421
161	22.57701316
162	22.56834507
163	22.56120701
164	22.55365551
165	22.54616012
166	22.53441278
167	22.52265867
168	22.51587392
169	22.5073272
170	22.50031606
171	22.4929287
172	22.4847937
173	22.4783913
174	22.46831525
175	22.462202
176	22.44983742
177	22.44216876
178	22.43403954
179	22.42684381
180	22.42023978
181	22.41160251
182	22.40282296
183	22.39593634
184	22.38813824
185	22.38282676
186	22.37584573
187	22.36750309
188	22.35655861
189	22.34836382
190	22.34322504
191	22.3346365
192	22.32723663
193	22.32150862
194	22.31145964
195	22.29836898
196	22.29117057
197	22.28277858
198	22.27531345
199	22.26943125
200	22.26118739
201	22.25477157
202	22.24260532
203	22.2355825
204	22.22815673
205	22.22049777
206	22.21258245
207	22.20351365
208	22.191544
209	22.18554304
210	22.17855976
211	22.17077948
212	22.16354996
213	22.15748415
214	22.14938469
215	22.14126547
216	22.13269472
217	22.12657503
218	22.118138
219	22.11011785
220	22.10495596
221	22.09927343
222	22.0922301
223	22.08530504
224	22.07773889
225	22.07071151
226	22.06469027
227	22.05713454
228	22.05021502
229	22.04372997
230	22.03790501
231	22.03185399
232	22.02530727
233	22.01462196
234	22.00778378
235	22.00090173
236	21.9966155
237	21.98935886
238	21.98442513
239	21.97956649
240	21.97197446
241	21.96436001
242	21.95653863
243	21.94951416
244	21.94511516
245	21.93765718
246	21.93108986
247	21.92542035
248	21.91672111
249	21.90772031
250	21.90280543
251	21.89580841
252	21.8922952
253	21.88539635
254	21.87968963
255	21.873873
256	21.86796825
257	21.85986192
258	21.85421695
259	21.84884001
260	21.83996573
261	21.83390316
262	21.82559198
263	21.8200099
264	21.81344781
265	21.80842285
266	21.80385404
267	21.79857156
268	21.79294804
269	21.78906707
270	21.78309243
271	21.77868016
272	21.77150384
273	21.76639469
274	21.75856232
275	21.75059541
276	21.74610949
277	21.7403706
278	21.7321411
279	21.72417629
280	21.71873541
281	21.71429475
282	21.70776954
283	21.70156077
284	21.69685562
285	21.68968771
286	21.68462288
287	21.67940567
288	21.67268127
289	21.66567379
290	21.66119156
291	21.6563768
292	21.65245986
293	21.64501975
294	21.63781443
295	21.630921
296	21.62509501
297	21.61944359
298	21.61312301
299	21.60888184
300	21.60303322
301	21.59777312
302	21.59006491
303	21.58320167
304	21.57585821
305	21.57085265
306	21.56675625
307	21.56075758
308	21.55370328
309	21.54839192
310	21.54531679
311	21.53692562
312	21.5297166
313	21.52353261
314	21.51518823
315	21.50880837
316	21.50369554
317	21.49521356
318	21.49028363
319	21.4840624
320	21.47827037
321	21.47132428
322	21.46475996
323	21.45493426
324	21.44927941
325	21.44398923
326	21.43862471
327	21.43192001
328	21.42479589
329	21.42035353
330	21.41240192
331	21.4061007
332	21.40029046
333	21.39406991
334	21.39003649
335	21.38480487
336	21.37774595
337	21.37296192
338	21.36701109
339	21.36152649
340	21.35870472
341	21.35278427
342	21.34847367
343	21.34454025
344	21.33739052
345	21.33391011
346	21.330543
347	21.32491142
348	21.32049646
349	21.31624256
350	21.31122146
351	21.30598181
352	21.29998419
353	21.29473577
354	21.28915261
355	21.28499628
356	21.2781138
357	21.27319979
358	21.26654106
359	21.26115382
360	21.25692043
361	21.25063327
362	21.24217426
363	21.23675034
364	21.23343217
365	21.229627
366	21.22364528
367	21.21784806
368	21.21282535
369	21.20712099
370	21.2027128
371	21.19583701
372	21.19020921
373	21.18316862
374	21.17847027
375	21.17444857
376	21.16807694
377	21.16136345
378	21.15526515
379	21.14934973
380	21.14486994
381	21.13944428
382	21.133644
383	21.12991952
384	21.1242627
385	21.11857641
386	21.11541699
387	21.11142093
388	21.10852504
389	21.10367002
390	21.1007737
391	21.09416565
392	21.09017591
393	21.0855442
394	21.08081572
395	21.07428604
396	21.06748821
397	21.06254666
398	21.05710091
399	21.04936365
400	21.04521972
401	21.04108093
402	21.0356359
403	21.03137531
404	21.02555527
405	21.02067591
406	21.016347
407	21.01005742
408	21.00307013
409	20.99739531
410	20.99306711
411	20.98851791
412	20.98239049
413	20.9758844
414	20.96954518
415	20.96524302
416	20.96094463
417	20.95428208
418	20.94894217
419	20.94516565
420	20.94184476
421	20.93806861
422	20.93360195
423	20.92975047
424	20.92603887
425	20.92333595
426	20.91895937
427	20.9125698
428	20.90790401
429	20.90412539
430	20.89950256
431	20.89333324
432	20.88749039
433	20.88392938
434	20.87853936
435	20.87423837
436	20.86816446
437	20.86526302
438	20.85929027
439	20.85214535
440	20.84635378
441	20.84107859
442	20.83637859
443	20.83061856
444	20.82478754
445	20.8195945
446	20.81257998
447	20.80950383
448	20.80250986
449	20.79798487
450	20.79331379
451	20.78772072
452	20.7827481
453	20.77761615
454	20.77377331
455	20.76917481
456	20.76441844
457	20.76051985
458	20.75376972
459	20.75088791
460	20.74469156
461	20.73935197
462	20.73601939
463	20.73161088
464	20.72710601
465	20.72247592
466	20.7182118
467	20.71359728
468	20.71052997
469	20.70640521
470	20.70146207
471	20.69551831
472	20.69141535
473	20.68541606
474	20.68057211
475	20.67600279
476	20.67024692
477	20.6637589
478	20.65868678
479	20.65461927
480	20.65114657
481	20.64830202
482	20.64409999
483	20.6399819
484	20.63631145
485	20.63372328
486	20.62960105
487	20.62466956
488	20.61905203
489	20.61496291
490	20.60957395
491	20.60595757
492	20.60261899
493	20.59992915
494	20.59453567
495	20.59009704
496	20.58375827
497	20.57960805
498	20.57475643
499	20.57266722
500	20.56748802
501	20.56397206
502	20.56045857
503	20.55712234
504	20.55292462
505	20.55009428
506	20.54459384
507	20.54027056
508	20.53651736
509	20.53242427
510	20.52932689
511	20.52442042
512	20.51881243
513	20.51294573
514	20.50926863
515	20.50276904
516	20.49885232
517	20.49507496
518	20.49246278
519	20.4890298
520	20.48433866
521	20.48064033
522	20.47856059
523	20.4754161
524	20.47183216
525	20.46878488
526	20.46387009
527	20.46104344
528	20.45788461
529	20.45403355
530	20.44953379
531	20.44451354
532	20.4403718
533	20.4363845
534	20.43293185
535	20.42714645
536	20.42149599
537	20.41758742
538	20.41418046
539	20.40977488
540	20.40363808
541	20.39902837
542	20.39577392
543	20.39075781
544	20.38579844
545	20.38002802
546	20.37578682
547	20.37220845
548	20.36878835
549	20.36575676
550	20.3609558
551	20.3572779
552	20.35319836
553	20.3506074
554	20.34552484
555	20.34191538
556	20.33698854
557	20.33299474
