ADM2_PCODE,Fecha_pred,Pred_mm,Media_hist_mm,Diff_pct,SPI_like,Alerta,month,Pred_t3_mm
VE01,2025-09-11,30.254654,31.15789479062073,-2.898914917154688,-0.05729974295220251,Normal,9,36.65685272216797
VE0101,2025-09-11,30.254654,31.15789479062073,-2.898914917154688,-0.05729974295220251,Normal,9,36.65685272216797
VE02,2025-09-11,83.394966,75.05588018087516,11.110503167129579,0.5368265955146997,Normal,9,73.66510009765625
VE0201,2025-09-11,76.38314,64.60863375843019,18.22435504449637,0.7067213235553088,Normal,9,69.39151763916016
VE0202,2025-09-11,97.156006,88.96590773503583,9.205883841180452,0.3260477530312062,Normal,9,92.63768768310547
VE0203,2025-09-11,88.08599,74.09393752248664,18.88420814324877,0.6133720651921248,Normal,9,72.60930633544922
VE0204,2025-09-11,96.73153,82.31322482116241,17.516388704249316,0.6644816622212311,Normal,9,82.46800994873047
VE0205,2025-09-11,94.97896,85.18220494205791,11.500938716588504,0.47213291872121993,Normal,9,79.24031829833984
VE0206,2025-09-11,98.07241,83.53441946847099,17.403593880858043,0.7153678878060722,Normal,9,76.61508178710938
VE0207,2025-09-11,69.748146,64.70051961913144,7.801523801835003,0.3248300144221095,Normal,9,70.09346008300781
VE03,2025-09-11,47.16253,45.75424712403376,3.077925998536903,0.07504898594762767,Normal,9,36.26929473876953
VE0301,2025-09-11,44.011852,44.79959509964276,-1.7583704350148086,-0.03436328567177119,Normal,9,36.07655715942383
VE0302,2025-09-11,47.515053,51.54812786274387,-7.823902117400844,-0.17044501219937816,Normal,9,38.04799270629883
VE0303,2025-09-11,40.376476,34.42652073480133,17.28305802051537,0.3776647097309769,Normal,9,37.67869186401367
VE0304,2025-09-11,43.110096,36.92669172932331,16.7450804794129,0.3743637597363118,Normal,9,37.23334884643555
VE0305,2025-09-11,46.214703,46.89341785226549,-1.4473571711120894,-0.02852167702604795,Normal,9,36.698089599609375
VE0306,2025-09-11,36.58763,22.785714285714285,60.572676225142054,1.1353575481947624,Lluvia moderada,9,38.082977294921875
VE0307,2025-09-11,44.164993,36.040198978624844,22.543699917768823,0.4397582419465155,Normal,9,39.77445602416992
VE0308,2025-09-11,47.203045,34.54135338345865,36.65661668590633,0.7418164408102147,Normal,9,35.63227081298828
VE0309,2025-09-11,46.070873,47.159261768025566,-2.307899798943538,-0.056033191965025646,Normal,9,37.50663375854492
VE0310,2025-09-11,48.63115,50.0908005040391,-2.9140105515566965,-0.06846925036732875,Normal,9,44.032875061035156
VE0311,2025-09-11,45.62001,50.377658385083194,-9.443964173045742,-0.21570158570670553,Normal,9,36.241973876953125
VE0312,2025-09-11,46.16783,38.249152158436026,20.702888340273734,0.47325545371024047,Normal,9,37.3614387512207
VE0313,2025-09-11,43.783863,46.14518165229855,-5.11715091396541,-0.110831450159185,Normal,9,36.14706039428711
VE0314,2025-09-11,45.741497,38.40386666749653,19.106488510201668,0.42512308323154513,Normal,9,37.299983978271484
VE0315,2025-09-11,47.992905,45.90704044453184,4.5436695512410346,0.08696019730900426,Normal,9,38.6522216796875
VE0316,2025-09-11,38.63289,30.386466105181473,27.138472306122054,0.5527540579313751,Normal,9,36.26365661621094
VE0317,2025-09-11,44.572487,49.776584419092735,-10.454910883068145,-0.20543571287177093,Normal,9,37.13594055175781
VE0318,2025-09-11,47.50763,45.06793773980965,5.4133643052554365,0.12254492753093739,Normal,9,36.194793701171875
VE0319,2025-09-11,46.98239,45.468557815802725,3.3294074286495454,0.06262696174922694,Normal,9,36.06477355957031
VE0320,2025-09-11,49.328094,54.22222198041758,-9.026054852129121,-0.1940344957722374,Normal,9,38.87351989746094
VE04,2025-09-11,80.77798,71.6124499901793,12.798789876374464,0.5251577456003964,Normal,9,64.58340454101562
VE0401,2025-09-11,79.57792,69.41211875399253,14.645569728802432,0.48260923375198617,Normal,9,63.16542053222656
VE0402,2025-09-11,71.410255,58.65596434227506,21.744235616737537,0.4850072708279452,Normal,9,55.05814743041992
VE0403,2025-09-11,63.349503,57.30830004699248,10.541583874465536,0.31211293105730525,Normal,9,69.56681060791016
VE0404,2025-09-11,82.57191,78.66313453903771,4.969001715129383,0.17708553592971757,Normal,9,70.92118072509766
VE0405,2025-09-11,86.36023,75.24070062852444,14.778608878939052,0.486144324183055,Normal,9,65.04367065429688
VE0406,2025-09-11,81.99044,76.45583197227994,7.2389617032472415,0.2611584521552777,Normal,9,71.68016815185547
VE0407,2025-09-11,73.06228,61.04066624318747,19.694431997967943,0.4494809048730759,Normal,9,53.03218078613281
VE05,2025-09-11,43.977028,44.92783948711883,-2.116308295494668,-0.05436184028781777,Normal,9,40.30614471435547
VE0501,2025-09-11,41.577484,45.642857142857146,-8.906920527068667,-0.22245536248757253,Normal,9,39.250221252441406
VE0502,2025-09-11,47.67772,44.59427421971371,6.914441260564644,0.1523700845761998,Normal,9,41.605106353759766
VE0503,2025-09-11,42.866856,43.756390894266,-2.032926515986206,-0.04687995897357342,Normal,9,41.18735122680664
VE0504,2025-09-11,41.83131,42.69924812030075,-2.0326771226477542,-0.05170427089488909,Normal,9,40.63820266723633
VE0505,2025-09-11,41.71938,45.34736827620886,-8.000439692689795,-0.19680883779930286,Normal,9,38.77926254272461
VE0506,2025-09-11,42.047497,43.0934480796183,-2.427170093308685,-0.0547545082246226,Normal,9,39.479156494140625
VE0507,2025-09-11,41.51814,43.06015037593985,-3.581063876877241,-0.0860661656369707,Normal,9,40.415000915527344
VE0508,2025-09-11,43.625446,42.30451127819549,3.1224448681089494,0.07347064877465881,Normal,9,41.145999908447266
VE0509,2025-09-11,48.27087,47.70676685275888,1.1824388722932921,0.0255191966285624,Normal,9,42.39814376831055
VE0510,2025-09-11,46.821022,49.538130964551655,-5.484883821726236,-0.12603637921151595,Normal,9,41.346126556396484
VE0511,2025-09-11,42.26204,45.724624060150376,-7.572691841107454,-0.17155640405710168,Normal,9,40.892799377441406
VE0512,2025-09-11,43.43408,48.3937969924812,-10.248666325353726,-0.24509363371145332,Normal,9,39.8897819519043
VE0513,2025-09-11,41.163258,45.31578966728727,-9.163543433532974,-0.22881752882472264,Normal,9,40.55609893798828
