Estado,Municipio,ADM2_PCODE,Fecha_pred,Pred_mm,Media_hist_mm,Diff_pct,SPI_like,Alerta
Anzoátegui,Anaco,VE0301,2025-06-21,103.44791172169504,40.995733333333334,152.3382393981529,31.53098096348499,Lluvia extrema
Anzoátegui,Anaco,VE0317,2025-06-21,103.5417568488578,45.63173333333334,126.90734996301796,24.570496355810043,Lluvia extrema
Anzoátegui,Aragua,VE0302,2025-06-21,101.10073809394234,47.5957,112.41569741372086,19.01680449556906,Lluvia extrema
Anzoátegui,Bolívar,VE0318,2025-06-21,105.90147826041397,40.4748,161.64793466654305,36.876229292712786,Lluvia extrema
Anzoátegui,Bruzual,VE0312,2025-06-21,101.39173023024748,44.97603333333333,125.43502108955987,28.145902003398884,Lluvia extrema
Anzoátegui,Cajigal,VE0309,2025-06-21,100.32300198106526,49.87776666666667,101.13771863829491,29.61119145782995,Lluvia extrema
Anzoátegui,Carvajal,VE0304,2025-06-21,105.84656611069342,45.06946666666666,134.85204937864827,114.20078129956703,Lluvia extrema
Anzoátegui,FernandodePeñalver,VE0303,2025-06-21,100.49988283130932,37.218666666666664,170.02547869700507,33.30621715371656,Lluvia extrema
Anzoátegui,Freites,VE0313,2025-06-21,104.62548462430084,47.5858,119.86702887058922,20.68165192612093,Lluvia extrema
Anzoátegui,GeneralSirArthurMcGregor,VE0320,2025-06-21,95.43026707973284,53.329366666666665,78.9450598133227,15.234519149661995,Lluvia extrema
Anzoátegui,Guanipa,VE0315,2025-06-21,102.39124259618622,55.3249,85.07262118175761,14.665256033285285,Lluvia extrema
Anzoátegui,Guanta,VE0306,2025-06-21,96.20101495997672,28.711133333333333,235.06519524357583,48.90180543246716,Lluvia extrema
Anzoátegui,Independencia,VE0307,2025-06-21,93.11033502851132,54.936099999999996,69.48843297669715,9.103961351845733,Lluvia extrema
Anzoátegui,Libertad,VE0311,2025-06-21,101.1409010944228,38.4,163.38776326672607,31.529958579897684,Lluvia extrema
Anzoátegui,Miranda,VE0305,2025-06-21,96.32563872662232,56.381233333333334,70.8469876086824,12.057099532240908,Lluvia extrema
Anzoátegui,Monagas,VE0310,2025-06-21,103.3324249796504,63.92819999999999,61.63825194460412,6.6006584006025895,Lluvia extrema
Anzoátegui,Píritu,VE0314,2025-06-21,102.02821682738151,40.657133333333334,150.94788653909404,24.411187465123383,Lluvia extrema
Anzoátegui,SanJuandeCapistrano,VE0316,2025-06-21,95.99921045969865,39.70003333333333,141.81141021636083,26.3792739032908,Lluvia extrema
Anzoátegui,SimónRodríguez,VE0319,2025-06-21,107.06745652740034,51.213633333333334,109.06045823878995,17.94672634745488,Lluvia extrema
Anzoátegui,Sotillo,VE0308,2025-06-21,97.81924233584974,38.46666666666667,154.29612392335287,42.66544878601993,Lluvia extrema
Apure,Muñoz,VE0403,2025-06-21,119.42011570399887,104.24556666666666,14.55654136914428,2.3530554765775955,Lluvia extrema
Aragua,Bolívar,VE0501,2025-06-21,94.76245677756935,42.32223333333334,123.90703257839105,17.610432681686472,Lluvia extrema
Aragua,Camatagua,VE0502,2025-06-21,92.19391199694748,59.40253333333333,55.201986891043056,12.497382778406276,Lluvia extrema
Aragua,Girardot,VE0503,2025-06-21,95.22099010528564,41.5378,129.2393677693225,25.466861881459522,Lluvia extrema
Aragua,JoséAngelLamas,VE0504,2025-06-21,101.39788629547552,39.722199999999994,155.26754886556014,29.84054075429999,Lluvia extrema
Aragua,JoséFélixRibas,VE0505,2025-06-21,96.45927785393312,43.92776666666667,119.58611869774039,13.173670525676782,Lluvia extrema
Aragua,Libertador,VE0507,2025-06-21,104.40890730770448,40.8,155.90418457770707,27.146990926160083,Lluvia extrema
Aragua,MarioBriceñoIragorry,VE0508,2025-06-21,92.71147112240192,39.311099999999996,135.8404397801179,22.340286808102018,Lluvia extrema
Aragua,SanCasimiro,VE0509,2025-06-21,93.78827755135296,60.292566666666666,55.555291035909285,12.00706153687984,Lluvia extrema
Aragua,SanSebastián,VE0510,2025-06-21,96.9096539491884,56.489700000000006,71.55278563913136,10.497252916648993,Lluvia extrema
Aragua,SantiagoMariño,VE0511,2025-06-21,95.15809594178609,42.027766666666665,126.41720816742445,19.59640914666598,Lluvia extrema
Aragua,SantosMichelena,VE0512,2025-06-21,95.45148961497772,53.725,77.66680244760859,7.913797836378922,Lluvia extrema
Aragua,Sucre,VE0513,2025-06-21,98.99317921754924,41.281466666666674,139.8005381370879,20.148849264279377,Lluvia extrema
Aragua,Tovar,VE0514,2025-06-21,96.71655958535082,41.01976666666666,135.78037479170814,16.688933242826334,Lluvia extrema
Aragua,Urdaneta,VE0515,2025-06-21,95.17834127117838,62.09473333333334,53.279249562515304,13.934513084710169,Lluvia extrema
Aragua,Zamora,VE0516,2025-06-21,106.28961797136752,45.899499999999996,131.57031769707194,22.297760069266104,Lluvia extrema
Barinas,AlbertoArveloTorrealba,VE0601,2025-06-21,104.70308276525172,80.168,30.604583830520546,10.261976835730959,Lluvia extrema
Barinas,AntonioJosédeSucre,VE0602,2025-06-21,99.11613722881808,89.13393333333333,11.199106246275917,2.5164258956189913,Lluvia extrema
Barinas,Arismendi,VE0603,2025-06-21,106.09117378774712,100.53776666666667,5.523702490321668,1.757945817662551,Lluvia extrema
Barinas,Barinas,VE0604,2025-06-21,110.05129878462844,86.48186666666666,27.253611683484074,5.7507511052322675,Lluvia extrema
Barinas,Bolívar,VE0605,2025-06-21,97.44276488347953,82.04936666666666,18.76114203215,8.349448185009457,Lluvia extrema
