Modelo,Horizonte,MAE,RMSE,Corte
RF,t+1,15.044909340462432,22.06592708257589,2016-08-21
CatBoost,t+1,15.161029245628175,22.169002028598694,2016-08-21
RF,t+3,15.815195431245934,22.965523872754623,2016-08-03
CatBoost,t+3,15.68628538037576,22.82431800049643,2016-08-03
